Street Name,Latitude,Longitude,Safety Rating,Number of Crimes,Street Type,Traffic Level,Lighting Quality,CCTV Coverage,Distance to Nearest Police Station (km),Pedestrian Activity,Nearby Public Spaces,Crime Severity Index,Police Patrolling Frequency,Most Common Crime Types
Commercial Street 1754,12.929894,77.588096,4,24,Commercial,Moderate,Poor,High,4.5,Moderate,Mall,7.6,Rare,Theft
Bannerghatta Road 1755,12.966085,77.59624,2,0,Mixed-use,Low,Moderate,Low,2.4,Moderate,Park,3.6,Occasional,Robbery
Indiranagar 100 Feet Road 1756,12.911889,77.589742,1,24,Industrial,Moderate,Moderate,High,4.0,Moderate,Mall,6.5,Rare,Harassment
Jayanagar 4th Block 1757,12.875789,77.69823,1,24,Commercial,Low,Poor,High,4.6,High,Playground,9.7,Occasional,Theft
Commercial Street 1758,12.950815,77.653776,4,25,Mixed-use,Moderate,Poor,Medium,1.2,High,Mall,4.6,Rare,Assault
Whitefield Main Road 1759,12.850921,77.612831,5,23,Commercial,High,Moderate,Medium,4.9,High,Playground,8.2,Occasional,Robbery
Jayanagar 4th Block 1760,12.872984,77.62032,3,32,Mixed-use,Moderate,Poor,Low,4.5,High,Market,4.6,Frequent,Vandalism
HSR Layout 1761,12.90813,77.663988,3,47,Commercial,Moderate,Moderate,Low,3.3,Moderate,Mall,5.3,Rare,Vandalism
Jayanagar 4th Block 1762,12.968479,77.639176,2,4,Mixed-use,Moderate,Good,Medium,3.9,Low,None,3.7,Rare,Harassment
Brigade Road 1763,12.896805,77.69045,3,30,Commercial,Low,Poor,Medium,2.9,Moderate,Market,3.6,Occasional,Robbery
Indiranagar 100 Feet Road 1764,12.950891,77.573664,4,49,Commercial,High,Poor,Low,3.5,High,Mall,1.6,Occasional,Assault
HSR Layout 1765,12.965361,77.55677,2,42,Commercial,Low,Good,Low,1.5,High,None,3.6,Occasional,Robbery
Church Street 1766,12.895249,77.580843,5,29,Residential,High,Good,High,2.9,High,Park,5.9,Frequent,Harassment
Commercial Street 1767,12.897657,77.546138,5,38,Industrial,High,Moderate,Medium,0.8,High,None,7.9,Rare,Assault
Koramangala 1st Block 1768,12.991498,77.607251,3,33,Residential,Low,Poor,Medium,1.2,High,Park,5.1,Rare,Robbery
HSR Layout 1769,12.930364,77.652543,4,0,Residential,High,Good,Medium,3.7,Moderate,Market,8.2,Frequent,Vandalism
MG Road 1770,12.85071,77.638762,3,50,Industrial,High,Poor,Low,4.8,High,Playground,3.3,Rare,Theft
HSR Layout 1771,12.993632,77.684,1,8,Commercial,Low,Moderate,High,3.6,Moderate,Mall,1.2,Rare,Theft
Brigade Road 1772,12.886499,77.591429,5,49,Industrial,High,Good,Medium,1.3,Moderate,Park,9.8,Occasional,Assault
Koramangala 1st Block 1773,12.86357,77.551527,5,2,Commercial,Moderate,Poor,Low,0.6,High,Park,6.5,Occasional,Robbery
Indiranagar 100 Feet Road 1774,12.981728,77.60918,3,0,Industrial,Low,Moderate,High,1.1,Moderate,Playground,8.0,Frequent,Vandalism
Jayanagar 4th Block 1775,12.929037,77.569511,2,17,Residential,Moderate,Good,Low,3.8,Low,Playground,5.5,Occasional,Robbery
Whitefield Main Road 1776,12.922755,77.533881,3,17,Mixed-use,Low,Good,Low,3.2,Low,Playground,3.4,Frequent,Harassment
Church Street 1777,12.940808,77.518833,2,49,Commercial,Moderate,Poor,Medium,3.7,High,Market,9.1,Rare,Harassment
BTM Layout 1778,12.965823,77.527228,4,50,Mixed-use,High,Poor,Low,2.1,High,Market,7.6,Occasional,Vandalism
HSR Layout 1779,12.939415,77.675352,3,30,Residential,Moderate,Poor,Low,4.3,Moderate,Mall,3.1,Occasional,Robbery
Koramangala 1st Block 1780,12.944776,77.525751,4,35,Mixed-use,High,Moderate,Medium,4.4,Moderate,Mall,9.6,Rare,Robbery
Church Street 1781,12.937746,77.511029,5,0,Residential,Moderate,Good,Low,2.7,High,None,8.9,Occasional,Theft
Indiranagar 100 Feet Road 1782,12.89373,77.609827,1,5,Mixed-use,Low,Good,Low,4.4,Low,Playground,8.2,Occasional,Robbery
Koramangala 1st Block 1783,12.972669,77.615239,4,1,Commercial,High,Poor,Low,1.3,Low,Market,8.8,Rare,Assault
Brigade Road 1784,12.926226,77.579597,1,3,Mixed-use,Moderate,Moderate,Low,4.3,High,Market,7.7,Frequent,Assault
Church Street 1785,12.997568,77.552085,5,30,Industrial,Low,Poor,High,5.0,Low,Playground,6.5,Occasional,Theft
Koramangala 1st Block 1786,12.990189,77.685381,1,8,Residential,Moderate,Good,Medium,1.5,High,None,10.0,Rare,Vandalism
Indiranagar 100 Feet Road 1787,12.983224,77.587925,1,1,Commercial,High,Moderate,Medium,0.5,High,Playground,2.7,Frequent,Assault
HSR Layout 1788,12.89543,77.618663,4,12,Mixed-use,High,Moderate,Low,3.4,High,None,5.4,Rare,Robbery
Koramangala 1st Block 1789,12.977767,77.526827,3,49,Commercial,Low,Poor,Medium,3.1,Low,Park,8.9,Rare,Harassment
Whitefield Main Road 1790,12.973917,77.617408,2,50,Industrial,Low,Poor,High,1.0,Low,None,2.4,Occasional,Vandalism
BTM Layout 1791,12.928286,77.69691,2,14,Industrial,Low,Poor,Medium,3.7,Moderate,Park,6.5,Rare,Vandalism
Jayanagar 4th Block 1792,12.946983,77.678194,2,5,Commercial,Low,Moderate,High,3.2,Moderate,None,7.3,Rare,Vandalism
HSR Layout 1793,12.886286,77.59301,5,38,Mixed-use,Moderate,Moderate,Medium,0.8,Low,Playground,6.9,Occasional,Theft
Commercial Street 1794,12.969354,77.573723,3,33,Residential,High,Moderate,Low,4.9,High,Market,1.5,Frequent,Harassment
Commercial Street 1795,12.880751,77.56438,3,41,Residential,Low,Moderate,High,2.9,Low,Park,9.1,Occasional,Harassment
MG Road 1796,12.858301,77.552521,5,38,Mixed-use,Low,Poor,High,3.4,Low,None,8.2,Rare,Harassment
Church Street 1797,12.909446,77.55496,1,22,Commercial,High,Poor,Medium,1.1,Low,Playground,6.7,Occasional,Robbery
Jayanagar 4th Block 1798,12.973353,77.58963,2,37,Industrial,High,Poor,Medium,3.1,Low,Playground,1.9,Frequent,Assault
Koramangala 1st Block 1799,12.961391,77.544848,3,48,Commercial,High,Good,High,3.5,Low,None,1.7,Frequent,Robbery
Whitefield Main Road 1800,12.942795,77.50514,2,13,Commercial,Moderate,Moderate,Low,4.3,Moderate,Market,8.0,Rare,Robbery
Bannerghatta Road 1801,12.924883,77.645361,3,21,Commercial,High,Good,Medium,4.3,Low,Playground,1.4,Rare,Robbery
HSR Layout 1802,12.899543,77.574306,5,24,Mixed-use,Moderate,Moderate,Low,3.6,Low,Playground,8.7,Occasional,Harassment
Commercial Street 1803,12.918479,77.696424,1,43,Commercial,High,Moderate,Low,2.8,Low,Park,2.8,Frequent,Vandalism
MG Road 1804,12.886379,77.510322,3,30,Residential,High,Poor,High,1.2,Low,Market,6.7,Occasional,Theft
BTM Layout 1805,12.891247,77.566717,3,46,Residential,High,Moderate,Medium,4.9,Moderate,Mall,4.7,Rare,Robbery
Church Street 1806,12.913118,77.63871,1,33,Mixed-use,Moderate,Moderate,Low,3.5,Moderate,None,3.9,Occasional,Theft
Jayanagar 4th Block 1807,12.861037,77.674043,2,30,Commercial,Low,Moderate,Low,3.9,Low,Playground,9.3,Occasional,Vandalism
MG Road 1808,12.923357,77.600874,1,44,Mixed-use,High,Poor,Medium,0.7,High,None,6.9,Frequent,Harassment
Jayanagar 4th Block 1809,12.898615,77.514675,5,24,Mixed-use,Low,Poor,Medium,4.6,Low,Playground,1.2,Frequent,Assault
Koramangala 1st Block 1810,12.944946,77.573717,3,22,Commercial,High,Good,High,3.9,Moderate,Playground,4.2,Occasional,Assault
Church Street 1811,12.872485,77.509611,1,34,Industrial,Moderate,Moderate,Low,3.7,Moderate,Playground,4.1,Rare,Assault
Brigade Road 1812,12.885903,77.690549,4,48,Commercial,Moderate,Poor,Medium,2.4,Low,Park,9.8,Frequent,Theft
Jayanagar 4th Block 1813,12.914011,77.670671,5,35,Commercial,High,Good,High,0.9,Moderate,Playground,2.8,Occasional,Assault
Whitefield Main Road 1814,12.895618,77.692055,4,36,Industrial,High,Moderate,Low,3.1,Low,Mall,1.0,Frequent,Assault
Koramangala 1st Block 1815,12.957993,77.526961,4,45,Mixed-use,Moderate,Poor,Medium,3.5,High,Mall,3.8,Frequent,Theft
Jayanagar 4th Block 1816,12.968867,77.647663,4,12,Residential,Low,Good,High,4.9,High,Playground,6.8,Frequent,Harassment
Jayanagar 4th Block 1817,12.908195,77.667437,1,27,Commercial,High,Poor,High,2.0,Moderate,None,5.1,Occasional,Vandalism
BTM Layout 1818,12.853872,77.640258,2,42,Industrial,Moderate,Good,Medium,2.5,High,Mall,5.4,Rare,Robbery
Koramangala 1st Block 1819,12.970848,77.53846,3,39,Commercial,Moderate,Poor,High,2.8,Low,Mall,3.2,Rare,Assault
Bannerghatta Road 1820,12.87713,77.696214,5,21,Commercial,Low,Poor,Medium,0.6,High,Park,6.6,Rare,Vandalism
Commercial Street 1821,12.946852,77.536456,1,44,Commercial,Low,Good,Low,0.6,Low,Park,2.2,Frequent,Harassment
BTM Layout 1822,12.918229,77.637279,2,11,Mixed-use,Moderate,Moderate,High,3.5,Moderate,Mall,2.5,Frequent,Assault
HSR Layout 1823,12.936202,77.63595,1,17,Residential,Low,Moderate,High,1.2,Low,Park,8.4,Frequent,Assault
Commercial Street 1824,12.869884,77.50901,4,23,Industrial,High,Poor,High,1.1,High,Park,3.4,Frequent,Assault
Koramangala 1st Block 1825,12.972882,77.620975,1,5,Residential,Moderate,Moderate,Medium,2.7,High,None,7.7,Rare,Theft
Jayanagar 4th Block 1826,12.866682,77.606379,5,7,Mixed-use,Low,Poor,Low,2.7,Moderate,None,5.9,Frequent,Theft
Bannerghatta Road 1827,12.974042,77.535849,2,6,Industrial,Low,Moderate,Low,2.8,Moderate,Market,5.8,Frequent,Harassment
Commercial Street 1828,12.975424,77.610932,1,46,Commercial,High,Moderate,Medium,1.0,High,Market,9.9,Rare,Theft
Brigade Road 1829,12.99396,77.630514,3,5,Residential,Moderate,Moderate,Medium,0.9,High,Playground,8.5,Frequent,Vandalism
HSR Layout 1830,12.883757,77.535955,4,26,Commercial,Low,Poor,Low,3.1,Low,Mall,5.2,Rare,Theft
Commercial Street 1831,12.917563,77.698849,1,23,Commercial,Moderate,Good,High,5.0,Low,Park,1.1,Rare,Theft
MG Road 1832,12.880096,77.662006,5,15,Mixed-use,Low,Good,Medium,3.1,High,Park,5.1,Rare,Robbery
Whitefield Main Road 1833,12.858273,77.691155,5,1,Industrial,High,Moderate,Medium,2.6,Moderate,Mall,4.8,Rare,Theft
Whitefield Main Road 1834,12.936737,77.546636,2,35,Mixed-use,Low,Moderate,Medium,2.3,High,Mall,1.9,Occasional,Vandalism
Whitefield Main Road 1835,12.986096,77.642877,2,35,Residential,Moderate,Poor,High,4.9,Moderate,Playground,5.7,Frequent,Theft
Whitefield Main Road 1836,12.953182,77.61773,1,18,Commercial,High,Moderate,Medium,1.6,High,Mall,4.4,Occasional,Assault
Jayanagar 4th Block 1837,12.921922,77.591635,5,17,Mixed-use,Low,Good,Low,1.6,Moderate,Playground,5.9,Frequent,Assault
Brigade Road 1838,12.969755,77.596686,2,34,Commercial,Low,Moderate,Low,2.9,High,None,3.0,Occasional,Theft
MG Road 1839,12.922141,77.500397,2,31,Commercial,Moderate,Poor,Low,1.8,Moderate,Playground,2.6,Frequent,Robbery
Jayanagar 4th Block 1840,12.927136,77.674778,2,26,Mixed-use,Low,Good,Low,4.7,High,Mall,3.1,Rare,Theft
Jayanagar 4th Block 1841,12.96886,77.624368,3,2,Industrial,High,Moderate,Low,3.2,High,Playground,3.9,Frequent,Vandalism
Whitefield Main Road 1842,12.904658,77.586079,5,32,Commercial,Low,Poor,Low,4.1,Low,Park,3.6,Frequent,Assault
Whitefield Main Road 1843,12.904586,77.575471,2,30,Commercial,Low,Moderate,High,1.9,High,Park,7.5,Frequent,Robbery
Jayanagar 4th Block 1844,12.894907,77.522763,3,33,Mixed-use,High,Moderate,High,0.9,Low,Playground,9.1,Occasional,Robbery
HSR Layout 1845,12.860608,77.609424,2,21,Mixed-use,Low,Moderate,High,3.5,Low,Playground,9.2,Rare,Theft
Indiranagar 100 Feet Road 1846,12.874469,77.608601,5,48,Residential,Low,Moderate,Low,4.3,Moderate,None,4.7,Rare,Assault
Koramangala 1st Block 1847,12.984958,77.516767,1,31,Industrial,Low,Moderate,High,1.3,Moderate,Market,4.6,Occasional,Assault
MG Road 1848,12.936674,77.672488,1,34,Residential,Moderate,Moderate,Medium,3.2,High,Market,5.8,Occasional,Harassment
Jayanagar 4th Block 1849,12.882174,77.647985,2,40,Commercial,Low,Poor,High,4.1,Low,Mall,6.2,Occasional,Robbery
Bannerghatta Road 1850,12.968343,77.576785,1,49,Industrial,High,Good,Low,3.7,High,Mall,5.0,Occasional,Theft
Indiranagar 100 Feet Road 1851,12.873085,77.677314,1,36,Commercial,High,Good,Low,0.9,Low,None,6.9,Rare,Harassment
HSR Layout 1852,12.989878,77.540423,4,5,Residential,Moderate,Good,High,1.4,Low,None,7.2,Rare,Harassment
MG Road 1853,12.883481,77.544604,3,35,Industrial,Low,Poor,High,1.4,Low,Park,8.2,Rare,Robbery
Church Street 1854,12.921646,77.500161,3,38,Commercial,High,Good,Medium,1.6,High,Market,3.4,Frequent,Assault
Church Street 1855,12.854843,77.644261,5,17,Residential,High,Good,Low,1.6,High,Playground,2.4,Occasional,Vandalism
Indiranagar 100 Feet Road 1856,12.901882,77.606877,3,47,Industrial,Moderate,Good,High,2.1,Moderate,Playground,2.1,Frequent,Vandalism
Whitefield Main Road 1857,12.951152,77.504645,5,46,Commercial,High,Moderate,Medium,1.7,High,Playground,7.2,Occasional,Theft
Jayanagar 4th Block 1858,12.935974,77.589582,1,33,Commercial,High,Good,High,2.8,High,Playground,6.7,Occasional,Assault
BTM Layout 1859,12.962768,77.557884,1,33,Commercial,High,Poor,High,3.9,Moderate,Park,8.3,Occasional,Robbery
BTM Layout 1860,12.880479,77.523847,5,25,Industrial,Moderate,Moderate,Low,3.8,Low,Market,6.4,Frequent,Harassment
Whitefield Main Road 1861,12.936917,77.658695,2,12,Mixed-use,Moderate,Poor,Medium,3.3,High,Market,9.1,Occasional,Harassment
BTM Layout 1862,12.939161,77.693673,1,13,Mixed-use,Low,Good,Medium,2.8,Moderate,Park,1.7,Rare,Harassment
Jayanagar 4th Block 1863,12.874253,77.576524,4,34,Mixed-use,Low,Moderate,Low,3.2,High,Mall,9.6,Frequent,Robbery
HSR Layout 1864,12.859274,77.665757,5,29,Residential,Low,Moderate,Medium,1.8,Moderate,Park,3.2,Rare,Assault
Jayanagar 4th Block 1865,12.850006,77.520567,1,5,Residential,High,Moderate,Low,3.1,Low,Park,4.0,Frequent,Assault
HSR Layout 1866,12.915368,77.622055,1,36,Mixed-use,Moderate,Good,Low,0.8,Low,Market,6.3,Occasional,Harassment
Church Street 1867,12.986048,77.623549,5,46,Commercial,Moderate,Moderate,Medium,0.6,Moderate,Playground,5.6,Frequent,Harassment
HSR Layout 1868,12.941867,77.646276,2,46,Mixed-use,High,Moderate,Low,1.4,Low,Mall,2.1,Occasional,Assault
Commercial Street 1869,12.978159,77.630183,1,17,Residential,Low,Moderate,Medium,4.7,Moderate,Park,4.8,Occasional,Assault
Bannerghatta Road 1870,12.965433,77.652339,3,48,Industrial,Moderate,Good,High,2.2,Moderate,Playground,5.9,Frequent,Vandalism
Church Street 1871,12.909662,77.66357,2,40,Mixed-use,Moderate,Good,High,4.4,High,Market,8.8,Frequent,Robbery
MG Road 1872,12.959465,77.648227,5,27,Mixed-use,High,Good,Low,1.1,Moderate,None,7.9,Occasional,Vandalism
Bannerghatta Road 1873,12.979016,77.585353,3,50,Residential,Low,Moderate,High,1.5,High,Playground,3.0,Frequent,Vandalism
Church Street 1874,12.926206,77.60448,3,34,Commercial,Moderate,Poor,High,1.9,Low,Market,4.7,Occasional,Robbery
Bannerghatta Road 1875,12.91962,77.505898,4,27,Mixed-use,Moderate,Good,Medium,3.0,Low,Park,9.7,Frequent,Robbery
BTM Layout 1876,12.851238,77.545298,4,13,Commercial,Low,Poor,Low,4.7,Moderate,Playground,2.4,Occasional,Vandalism
MG Road 1877,12.881763,77.601966,1,33,Mixed-use,Moderate,Good,Low,3.2,Low,Playground,4.7,Rare,Theft
Brigade Road 1878,12.933198,77.670492,4,46,Mixed-use,Low,Poor,Medium,2.4,Low,Park,8.8,Occasional,Assault
MG Road 1879,12.98553,77.697975,1,26,Mixed-use,Moderate,Poor,Medium,0.7,Low,Mall,3.4,Rare,Harassment
Jayanagar 4th Block 1880,12.867563,77.631314,4,0,Industrial,Low,Poor,Medium,2.8,Moderate,Mall,7.7,Occasional,Theft
Indiranagar 100 Feet Road 1881,12.978593,77.549728,4,16,Industrial,Moderate,Poor,Low,2.0,Moderate,Park,8.6,Frequent,Harassment
Jayanagar 4th Block 1882,12.907664,77.547607,1,43,Mixed-use,Low,Good,Low,4.1,High,Park,7.7,Frequent,Theft
MG Road 1883,12.903033,77.503906,1,50,Commercial,Low,Moderate,High,3.9,Moderate,Market,1.6,Occasional,Harassment
MG Road 1884,12.890411,77.661588,2,38,Mixed-use,High,Good,Medium,2.2,Low,None,8.4,Occasional,Theft
Bannerghatta Road 1885,12.868182,77.558534,4,36,Industrial,High,Good,Medium,0.9,Moderate,Playground,9.4,Frequent,Robbery
Jayanagar 4th Block 1886,12.928007,77.602999,4,41,Commercial,Low,Moderate,Medium,1.8,Low,Market,5.6,Frequent,Robbery
Commercial Street 1887,12.966702,77.665391,1,4,Commercial,Moderate,Good,Medium,1.3,Moderate,None,6.9,Rare,Assault
Koramangala 1st Block 1888,12.954073,77.593124,5,9,Residential,High,Moderate,Low,0.9,Moderate,Mall,1.2,Frequent,Theft
Koramangala 1st Block 1889,12.988701,77.564549,5,32,Commercial,Low,Good,High,1.9,Low,Mall,8.4,Rare,Robbery
Whitefield Main Road 1890,12.867734,77.633515,2,15,Commercial,Low,Moderate,High,4.2,High,None,10.0,Rare,Theft
Commercial Street 1891,12.905797,77.506949,1,21,Mixed-use,High,Good,Low,2.9,High,None,7.8,Rare,Robbery
Jayanagar 4th Block 1892,12.929272,77.588534,5,50,Commercial,High,Good,High,4.3,Low,Market,1.8,Occasional,Assault
Jayanagar 4th Block 1893,12.98595,77.613944,2,11,Mixed-use,Moderate,Moderate,Low,4.7,Low,Market,6.5,Frequent,Harassment
Whitefield Main Road 1894,12.959012,77.50225,1,0,Residential,Moderate,Good,High,2.1,Low,Mall,8.5,Frequent,Vandalism
Indiranagar 100 Feet Road 1895,12.922794,77.676209,3,21,Commercial,Low,Poor,High,2.7,Moderate,Market,2.5,Frequent,Theft
Bannerghatta Road 1896,12.956593,77.62292,2,14,Industrial,Moderate,Good,Medium,4.1,High,Playground,8.2,Occasional,Assault
Koramangala 1st Block 1897,12.979913,77.588071,4,19,Industrial,Low,Poor,Low,3.2,Moderate,Mall,3.4,Occasional,Robbery
Whitefield Main Road 1898,12.905303,77.525407,3,5,Commercial,Low,Moderate,High,2.9,Low,Park,7.1,Rare,Theft
BTM Layout 1899,12.87127,77.574992,3,46,Industrial,Low,Moderate,Low,1.6,Low,Playground,2.0,Frequent,Assault
Commercial Street 1900,12.998216,77.699779,5,8,Residential,High,Moderate,High,3.2,Moderate,Playground,2.1,Frequent,Assault
Jayanagar 4th Block 1901,12.851389,77.510278,5,20,Commercial,Low,Poor,Medium,1.0,Low,Park,9.5,Frequent,Theft
Whitefield Main Road 1902,12.861287,77.52718,2,12,Commercial,Moderate,Poor,Low,0.7,High,Market,4.3,Frequent,Robbery
HSR Layout 1903,12.853386,77.585375,4,8,Mixed-use,High,Moderate,High,4.8,High,None,3.7,Occasional,Theft
BTM Layout 1904,12.971813,77.537924,1,44,Industrial,Low,Poor,High,1.7,High,Playground,2.0,Occasional,Assault
Koramangala 1st Block 1905,12.95386,77.671053,2,27,Mixed-use,Moderate,Moderate,Low,3.8,Moderate,Market,1.3,Frequent,Vandalism
Koramangala 1st Block 1906,12.978197,77.619328,3,21,Commercial,Low,Moderate,Low,2.4,Low,Park,9.0,Occasional,Robbery
Commercial Street 1907,12.90982,77.663116,3,43,Industrial,High,Good,Low,2.5,Moderate,Market,9.3,Frequent,Harassment
Jayanagar 4th Block 1908,12.954628,77.67665,3,37,Residential,Moderate,Moderate,Low,0.6,Low,Park,3.5,Rare,Robbery
BTM Layout 1909,12.942741,77.540638,2,3,Industrial,High,Moderate,Medium,0.7,Low,Market,5.5,Rare,Harassment
Whitefield Main Road 1910,12.917771,77.574114,2,40,Industrial,Low,Poor,Low,3.3,High,Mall,3.0,Frequent,Assault
HSR Layout 1911,12.861888,77.526744,5,18,Commercial,Low,Good,High,0.5,Low,Mall,3.7,Rare,Harassment
Jayanagar 4th Block 1912,12.924259,77.60958,1,24,Commercial,Low,Moderate,High,2.4,Moderate,Mall,6.5,Occasional,Robbery
Commercial Street 1913,12.975063,77.602123,5,33,Commercial,Moderate,Moderate,Low,0.9,Moderate,Mall,7.6,Occasional,Harassment
MG Road 1914,12.903809,77.655,4,23,Industrial,Moderate,Moderate,High,3.1,Moderate,Playground,8.8,Rare,Vandalism
MG Road 1915,12.873858,77.605267,5,49,Residential,Low,Poor,Medium,3.5,High,None,6.4,Frequent,Harassment
BTM Layout 1916,12.900471,77.67465,3,11,Residential,High,Poor,Medium,3.1,Low,Mall,5.4,Frequent,Assault
Commercial Street 1917,12.965652,77.641102,4,25,Commercial,Low,Poor,Medium,4.6,High,Market,2.4,Rare,Vandalism
BTM Layout 1918,12.985724,77.589267,1,30,Mixed-use,Low,Moderate,High,0.8,Low,Park,6.6,Occasional,Theft
BTM Layout 1919,12.946526,77.638924,4,31,Residential,Low,Poor,Medium,4.5,Moderate,Playground,3.4,Occasional,Robbery
Church Street 1920,12.992916,77.677947,3,20,Residential,High,Good,High,1.4,Moderate,Playground,4.6,Occasional,Assault
Koramangala 1st Block 1921,12.974023,77.655245,5,7,Commercial,High,Poor,High,4.6,Low,Mall,7.9,Occasional,Assault
Jayanagar 4th Block 1922,12.877894,77.584886,4,11,Industrial,Low,Poor,Low,0.7,Moderate,Market,9.4,Occasional,Theft
HSR Layout 1923,12.941447,77.519333,1,38,Residential,Low,Moderate,Low,4.4,High,Market,7.5,Occasional,Assault
BTM Layout 1924,12.925443,77.550757,1,22,Residential,High,Good,Medium,2.1,High,Mall,5.2,Frequent,Robbery
Indiranagar 100 Feet Road 1925,12.862435,77.697792,4,2,Industrial,Low,Moderate,High,4.1,Moderate,Park,8.4,Frequent,Robbery
Commercial Street 1926,12.971246,77.585194,2,48,Mixed-use,Moderate,Good,Medium,1.1,Moderate,Market,5.8,Occasional,Assault
Bannerghatta Road 1927,12.937181,77.671935,2,4,Commercial,High,Moderate,Medium,3.7,Moderate,Park,6.7,Rare,Harassment
Commercial Street 1928,12.906643,77.531624,1,41,Mixed-use,Low,Moderate,High,4.2,Moderate,Market,4.7,Occasional,Harassment
Koramangala 1st Block 1929,12.850083,77.625385,3,46,Industrial,Low,Moderate,High,3.2,High,Park,4.6,Rare,Harassment
Church Street 1930,12.909914,77.614701,4,23,Mixed-use,High,Good,Medium,2.0,Low,Mall,3.9,Frequent,Harassment
Whitefield Main Road 1931,12.889436,77.511868,2,47,Industrial,Moderate,Good,High,1.7,High,None,5.4,Rare,Theft
Church Street 1932,12.896606,77.548082,5,45,Mixed-use,High,Poor,Medium,4.7,High,Market,4.1,Occasional,Harassment
Koramangala 1st Block 1933,12.90458,77.585303,3,30,Commercial,Low,Good,High,3.0,High,Mall,9.6,Occasional,Harassment
Bannerghatta Road 1934,12.88735,77.540637,3,19,Mixed-use,Moderate,Poor,Medium,2.6,High,Mall,4.4,Frequent,Assault
Jayanagar 4th Block 1935,12.936313,77.547523,4,6,Residential,Low,Poor,Low,2.7,Low,Mall,5.9,Occasional,Vandalism
Church Street 1936,12.927706,77.606343,1,26,Mixed-use,High,Moderate,Low,4.1,Moderate,Playground,3.2,Occasional,Robbery
Koramangala 1st Block 1937,12.947214,77.560679,5,13,Residential,Moderate,Poor,High,4.8,Low,Park,9.3,Rare,Assault
Bannerghatta Road 1938,12.97719,77.678973,2,6,Industrial,High,Poor,Medium,4.4,Low,Mall,8.5,Rare,Harassment
